time,SurvivalProbability
1.0,97.9815
2.0,93.55499999999999
3.0,88.55275
4.0,82.096
5.0,77.51650000000001
6.0,65.0192
7.0,58.84033333333333
8.0,43.54975
9.0,23.787
10.0,21.1685
11.0,12.950666666666665
12.0,5.413
13.0,5.413
14.0,2.8375
